date,portfolio_value,cash,num_positions,unrealized_pnl
2023-02-16,100000,100000,0,0
2023-02-23,100000,100000,0,0
2023-02-28,100000,100000,0,0
2023-03-06,100000,100000,0,0
2023-03-07,100000,100000,0,0
2023-03-13,100000,100000,0,0
2023-03-28,100000,100000,0,0
2023-03-29,100000,100000,0,0
2023-03-30,100000,100000,0,0
2023-04-05,100000,100000,0,0
2023-04-13,100000,100000,0,0
2023-04-24,100000,100000,0,0
2023-04-25,100000,100000,0,0
2023-04-27,100000,100000,0,0
2023-05-09,100000,100000,0,0
2023-05-10,100000,100000,0,0
2023-05-22,100000,100000,0,0
2023-05-25,100000,100000,0,0
2023-05-29,100000,100000,0,0
2023-05-31,100000,100000,0,0
2023-06-07,100000,100000,0,0
2023-06-14,100000,100000,0,0
2023-06-23,100000,100000,0,0
2023-07-05,100000,100000,0,0
2023-07-07,100000,100000,0,0
2023-07-10,100000,100000,0,0
2023-07-18,100000,100000,0,0
2023-07-19,100000,100000,0,0
2023-07-20,100000,100000,0,0
2023-07-21,100000,100000,0,0
2023-07-24,100000,100000,0,0
2023-07-25,100000,100000,0,0
2023-07-31,100000,100000,0,0
2023-08-01,100000,100000,0,0
2023-08-03,100000,100000,0,0
2023-08-07,100000,100000,0,0
2023-08-15,100000,100000,0,0
2023-08-22,100000,100000,0,0
2023-08-24,100000,100000,0,0
2023-09-06,100000,100000,0,0
2023-09-08,100000,100000,0,0
2023-09-11,100000,100000,0,0
2023-09-14,100000,100000,0,0
2023-09-18,100000,100000,0,0
2023-09-25,100000,100000,0,0
2023-09-26,100000,100000,0,0
2023-10-04,100000,100000,0,0
2023-10-05,100000,100000,0,0
2023-10-06,100000,100000,0,0
2023-10-16,100000,100000,0,0
2023-10-17,100000,100000,0,0
2023-10-19,100000,100000,0,0
2023-10-27,100000,100000,0,0
2023-10-31,100000,100000,0,0
2023-11-02,100000,100000,0,0
2023-11-06,100000,100000,0,0
2023-11-07,100000,100000,0,0
2023-11-13,100000,100000,0,0
2023-11-14,100000,100000,0,0
2023-11-22,100000,100000,0,0
2023-11-29,100000,100000,0,0
2023-12-06,100000,100000,0,0
2023-12-07,100000,100000,0,0
2023-12-14,100000,100000,0,0
2023-12-18,100000,100000,0,0
2023-12-20,100000,100000,0,0
2023-12-27,100000,100000,0,0
2023-12-28,100000,100000,0,0
2024-01-05,100000,100000,0,0
2024-01-18,100000,100000,0,0
2024-01-24,100000,100000,0,0
2024-02-06,100000,100000,0,0
2024-02-08,100000,100000,0,0
2024-02-09,100000,100000,0,0
2024-02-15,100000,100000,0,0
2024-02-16,100000,100000,0,0
2024-02-21,100000,100000,0,0
2024-02-27,100000,100000,0,0
2024-02-29,100000,100000,0,0
2024-03-01,100000,100000,0,0
2024-03-04,100000,100000,0,0
2024-03-11,100000,100000,0,0
2024-03-14,100000,100000,0,0
2024-03-15,100000,100000,0,0
2024-03-26,100000,100000,0,0
2024-04-04,100000,100000,0,0
2024-04-10,100000,100000,0,0
2024-04-15,100000,100000,0,0
2024-04-18,100000,100000,0,0
2024-04-22,100000,100000,0,0
2024-04-25,100000,100000,0,0
2024-04-26,100000,100000,0,0
2024-05-01,100000,100000,0,0
2024-05-02,100000,100000,0,0
2024-05-06,100000,100000,0,0
2024-05-07,100000,100000,0,0
2024-05-08,100000,100000,0,0
2024-05-10,100000,100000,0,0
2024-05-13,100000,100000,0,0
2024-05-17,100000,100000,0,0
2024-05-22,100000,100000,0,0
2024-05-23,100000,100000,0,0
2024-05-30,100000,100000,0,0
2024-06-04,100000,100000,0,0
2024-06-05,100000,100000,0,0
2024-06-07,100000,100000,0,0
2024-06-13,100000,100000,0,0
2024-06-21,100000,100000,0,0
2024-06-27,100000,100000,0,0
2024-06-28,100000,100000,0,0
2024-07-01,100000,100000,0,0
2024-07-08,100000,100000,0,0
2024-07-10,100000,100000,0,0
2024-07-22,100000,100000,0,0
2024-07-31,100000,100000,0,0
2024-08-08,100000,100000,0,0
2024-08-09,100000,100000,0,0
2024-08-13,100000,100000,0,0
2024-08-14,100000,100000,0,0
2024-08-15,100000,100000,0,0
2024-08-20,100000,100000,0,0
2024-08-22,100000,100000,0,0
2024-08-26,100000,100000,0,0
2024-08-29,100000,100000,0,0
2024-08-30,100000,100000,0,0
2024-09-03,100000,100000,0,0
2024-09-05,100000,100000,0,0
2024-09-18,100000,100000,0,0
2024-09-30,100000,100000,0,0
2024-10-02,100000,100000,0,0
2024-10-04,100000,100000,0,0
2024-10-15,100000,100000,0,0
2024-10-25,100000,100000,0,0
2024-10-29,100000,100000,0,0
2024-10-30,100000,100000,0,0
2024-11-05,100000,100000,0,0
